Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Thon Maker,C,22,DET,54,13,12.9,1.6,3.1,.506,0.4,1.1,.345,1.2,2.0,.591,.565,1.3,1.9,.667,0.9,1.8,2.7,0.7,0.4,0.6,0.8,1.7,4.8
Terance Mann,SG,23,LAC,35,6,7.7,0.6,1.5,.407,0.1,0.3,.250,0.5,1.2,.452,.435,0.3,0.3,.750,0.1,0.8,0.9,1.1,0.2,0.1,0.4,1.0,1.6
Boban Marjanović,C,31,DAL,29,1,8.9,2.3,4.2,.545,0.1,0.3,.333,2.2,3.9,.561,.557,0.9,1.3,.730,1.3,2.7,4.0,0.4,0.1,0.2,0.7,1.4,5.7
Lauri Markkanen,PF,22,CHI,46,46,30.3,5.1,12.0,.424,2.2,6.4,.344,2.9,5.6,.516,.515,2.7,3.2,.826,1.2,5.2,6.5,1.5,0.8,0.5,1.7,2.0,15.0
Caleb Martin,SF,24,CHO,9,1,11.9,0.9,2.8,.320,0.2,0.9,.250,0.7,1.9,.353,.360,0.4,0.8,.571,0.2,1.3,1.6,0.8,0.3,0.2,0.6,1.6,2.4
Cody Martin,SF,24,CHO,39,1,16.2,1.6,3.8,.420,0.4,1.5,.237,1.3,2.3,.538,.467,0.8,1.2,.638,0.7,2.1,2.9,1.4,0.7,0.2,0.7,1.5,4.4
Jeremiah Martin,PG,23,BRK,2,0,5.5,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,.250,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
Kelan Martin,SF,24,MIN,24,4,17.3,2.4,6.3,.380,0.9,3.3,.266,1.5,3.0,.507,.450,0.8,0.8,1.000,0.3,3.0,3.3,0.5,0.3,0.4,0.6,1.8,6.5
Frank Mason,PG,25,MIL,4,0,4.5,0.3,1.8,.143,0.3,1.0,.250,0.0,0.8,.000,.214,0.5,1.0,.500,0.3,0.3,0.5,1.3,0.3,0.0,0.3,0.5,1.3
Garrison Mathews,SG,23,WAS,16,0,12.6,1.4,3.1,.460,1.1,2.6,.429,0.3,0.5,.625,.640,1.8,2.0,.906,0.4,1.1,1.4,0.6,0.2,0.1,0.4,1.6,5.8
